Source,Type,Item,Location,Category,Subcategory,Subcategory2,Dimension,Dimension 2,Check Blanks
CCSESA,Assumptions,"County superintendent of schools are uniquely positioned to collaborate with local officials about reopening schools and to lead discussions about changes needed in schools to protect the safety of students and staff. County offices of education can: Help LEAs in the county synthesize federal, state and local guidelines into practices and procedures for reopening and operating local schools to support both education and public health goals Encourage local districts and charters to use the same practices whenever possible so as to send consistent messages to students, parents, community members and staff Communicate with parents and the community about these practices and procedures",1,General,General,,,,0
CDC-C4S,Assumptions,"COVID-19 is mostly spread by respiratory droplets released when people talk, cough, or sneeze.",GP1,General,General,,,,0
Monterey COE,Assumptions,"Depending on the circumstances of the closure/dismissal, school personnel may still be able to work on school sites and offices.",Intro,General,General,,,,0
Kern COE,Actions,Develop and implement strategies to prevent the transmission of COVID-19 and other infectious diseases.,12,General,General,,,,0
San Diego COE,Actions,"Develop communication plans and tool for use with employees, parents and students.",111-G,General,General,,Communication,,0
Monterey COE,Assumptions,Families and children experiencing food instability depend on school meal programs.,Intro,General,General,,,,0
Monterey COE,Assumptions,"High employee absenteeism rates constitute the greatest challenge to the global supply and financial systems. Disruption of public and privately owned critical infrastructure, including transportation, commerce, utilities, public safety and communications, may be significant.",Intro,General,General,,,,0
Monterey COE,Assumptions,Non-medical containment measures (social distancing) will be an important means of slowing or limiting the spread of the disease until vaccinations are available.,Intro,General,General,,,,0
Monterey COE,Assumptions,People are thought to be most contagious when their symptoms are at their worst but there is also some possibility that the virus may be transmitted by people who are not symptomatic.,Intro,General,General,,,,0
Monterey COE,Assumptions,School closures and dismissals are likely to be used to slow transmission of this virus.,Intro,General,General,,,,0
Monterey COE,Assumptions,"School operations are likely to be impacted by high rates of employee absence due to infection, the need to care for loved ones who are ill and for quarantine periods of up to 14 days following exposure to persons known to have COVID-19.",Intro,General,General,,,,0
Monterey COE,Assumptions,"Seasonal influenza and COVID-19 have similar symptoms which are likely to cause confusion and concern with parents, staff and students.",Intro,General,General,,,,0
Monterey COE,Assumptions,"Student attendance rates will decline due to infection, quarantine periods of up to 14 days following exposure, and parental fear concerning the possibility of infection.",Intro,General,General,,,,0
Monterey COE,Assumptions,Symptoms manifest within 2 to 14 days of exposure.,Intro,General,General,,,,0
Monterey COE,Assumptions,The California Department of Public Health has confirmed that Community-acquired cases have been confirmed in California.,Intro,General,General,,,,0
Monterey COE,Assumptions,The Centers for Disease Control (CDC) has warned that widespread transmission of COVID-19 in the United States will occur.,Intro,General,General,,,,0
Monterey COE,Assumptions,"The complete clinical picture regarding COVID-19 is not fully understood. Reported illnesses have ranged from mild to severe, including illness resulting in death. Older people and people with certain underlying health conditions like heart disease, lung disease and diabetes, for example, seem to be at greater risk of serious illness",Intro,General,General,,,,0
Marin COE,Assumptions,The economic impacts of the pandemic will have significant and lasting impacts on schools.,5a,General,General,,,,0
Monterey COE,Assumptions,The situation is evolving rapidly as new information about the virus and its spread becomes available.,Intro,General,General,,,,0
Monterey COE,Assumptions,There is no vaccine to protect against COVID-19 and no medications have been approved to treat it.,Intro,General,General,,,,0
